"train/global_step","./falcon_qwen_results_packing - _step","./falcon_qwen_results_packing - _step__MIN","./falcon_qwen_results_packing - _step__MAX","./falcon_qwen_results_packing - eval/loss","./falcon_qwen_results_packing - eval/loss__MIN","./falcon_qwen_results_packing - eval/loss__MAX"
"14150","565","565","565","1.3703246116638184","1.3703246116638184","1.3703246116638184"
"14200","567","567","567","1.3691524267196655","1.3691524267196655","1.3691524267196655"
"14250","569","569","569","1.3700065612792969","1.3700065612792969","1.3700065612792969"
"14300","571","571","571","1.3693798780441284","1.3693798780441284","1.3693798780441284"
"14350","573","573","573","1.3693243265151978","1.3693243265151978","1.3693243265151978"
"14400","575","575","575","1.3691504001617432","1.3691504001617432","1.3691504001617432"
"14450","577","577","577","1.3696917295455933","1.3696917295455933","1.3696917295455933"
"14500","579","579","579","1.367383360862732","1.367383360862732","1.367383360862732"
"14550","581","581","581","1.3689817190170288","1.3689817190170288","1.3689817190170288"
"14600","583","583","583","1.3682729005813599","1.3682729005813599","1.3682729005813599"
"14650","585","585","585","1.368355393409729","1.368355393409729","1.368355393409729"
"14700","587","587","587","1.3682774305343628","1.3682774305343628","1.3682774305343628"
"14750","589","589","589","1.3699878454208374","1.3699878454208374","1.3699878454208374"
"14800","591","591","591","1.3697035312652588","1.3697035312652588","1.3697035312652588"
"14850","593","593","593","1.3688898086547852","1.3688898086547852","1.3688898086547852"
"14900","595","595","595","1.3690626621246338","1.3690626621246338","1.3690626621246338"
"14950","597","597","597","1.3707246780395508","1.3707246780395508","1.3707246780395508"
"15000","599","599","599","1.3680752515792847","1.3680752515792847","1.3680752515792847"
"15050","601","601","601","1.3679683208465576","1.3679683208465576","1.3679683208465576"
"15100","603","603","603","1.3674676418304443","1.3674676418304443","1.3674676418304443"
"15150","605","605","605","1.367992639541626","1.367992639541626","1.367992639541626"
"15200","607","607","607","1.366783618927002","1.366783618927002","1.366783618927002"
"15250","609","609","609","1.3701950311660767","1.3701950311660767","1.3701950311660767"
"15300","611","611","611","1.3703292608261108","1.3703292608261108","1.3703292608261108"
"15350","613","613","613","1.3708490133285522","1.3708490133285522","1.3708490133285522"
"15400","615","615","615","1.3678416013717651","1.3678416013717651","1.3678416013717651"
"15450","617","617","617","1.367668867111206","1.367668867111206","1.367668867111206"
"15500","619","619","619","1.3686203956604004","1.3686203956604004","1.3686203956604004"
"15550","621","621","621","1.3674601316452026","1.3674601316452026","1.3674601316452026"
"15600","623","623","623","1.3679585456848145","1.3679585456848145","1.3679585456848145"
"15650","625","625","625","1.3667596578598022","1.3667596578598022","1.3667596578598022"
"15700","627","627","627","1.3671547174453735","1.3671547174453735","1.3671547174453735"
"15750","629","629","629","1.3682233095169067","1.3682233095169067","1.3682233095169067"
"15800","631","631","631","1.368085265159607","1.368085265159607","1.368085265159607"
"15850","633","633","633","1.3668051958084106","1.3668051958084106","1.3668051958084106"
"15900","635","635","635","1.3679600954055786","1.3679600954055786","1.3679600954055786"
"15950","637","637","637","1.3682633638381958","1.3682633638381958","1.3682633638381958"
"16000","639","639","639","1.3676294088363647","1.3676294088363647","1.3676294088363647"
"16050","641","641","641","1.3682440519332886","1.3682440519332886","1.3682440519332886"
"16100","643","643","643","1.3685704469680786","1.3685704469680786","1.3685704469680786"
"16150","645","645","645","1.3689082860946655","1.3689082860946655","1.3689082860946655"
"16200","647","647","647","1.3683334589004517","1.3683334589004517","1.3683334589004517"
"16250","649","649","649","1.3683850765228271","1.3683850765228271","1.3683850765228271"
"16300","651","651","651","1.3681564331054688","1.3681564331054688","1.3681564331054688"
"16350","653","653","653","1.3694652318954468","1.3694652318954468","1.3694652318954468"
"16400","655","655","655","1.3664181232452393","1.3664181232452393","1.3664181232452393"
"16450","657","657","657","1.3668721914291382","1.3668721914291382","1.3668721914291382"
"16500","659","659","659","1.3667361736297607","1.3667361736297607","1.3667361736297607"
"16550","661","661","661","1.367929458618164","1.367929458618164","1.367929458618164"
"16600","663","663","663","1.3653734922409058","1.3653734922409058","1.3653734922409058"
"16650","665","665","665","1.367303729057312","1.367303729057312","1.367303729057312"
"16700","667","667","667","1.3672640323638916","1.3672640323638916","1.3672640323638916"
"16750","669","669","669","1.3677618503570557","1.3677618503570557","1.3677618503570557"
"16800","671","671","671","1.3687816858291626","1.3687816858291626","1.3687816858291626"
"16850","673","673","673","1.3687585592269897","1.3687585592269897","1.3687585592269897"
"16900","675","675","675","1.3683133125305176","1.3683133125305176","1.3683133125305176"
"16950","677","677","677","1.366817831993103","1.366817831993103","1.366817831993103"
"17000","679","679","679","1.3670772314071655","1.3670772314071655","1.3670772314071655"
"17050","681","681","681","1.3672668933868408","1.3672668933868408","1.3672668933868408"
"17100","683","683","683","1.3669893741607666","1.3669893741607666","1.3669893741607666"
"17150","685","685","685","1.3682160377502441","1.3682160377502441","1.3682160377502441"
"17200","687","687","687","1.3667792081832886","1.3667792081832886","1.3667792081832886"
"17250","689","689","689","1.365746021270752","1.365746021270752","1.365746021270752"
"17300","691","691","691","1.3689615726470947","1.3689615726470947","1.3689615726470947"
"17350","693","693","693","1.3676199913024902","1.3676199913024902","1.3676199913024902"
"17400","695","695","695","1.36737060546875","1.36737060546875","1.36737060546875"
"17450","697","697","697","1.367647647857666","1.367647647857666","1.367647647857666"
"17500","699","699","699","1.3668543100357056","1.3668543100357056","1.3668543100357056"
"17550","701","701","701","1.367616057395935","1.367616057395935","1.367616057395935"
"17600","703","703","703","1.36692214012146","1.36692214012146","1.36692214012146"
"17650","705","705","705","1.367428183555603","1.367428183555603","1.367428183555603"
"17700","707","707","707","1.3672254085540771","1.3672254085540771","1.3672254085540771"
